Timestamp_Unix,Signal_mV,Intent_Label,Label_Class
1771059087.662316084,502.562744,REST,0
1771059087.666234016,503.925506,REST,0
1771059087.670097828,505.533599,REST,0
1771059087.674594164,507.164733,REST,0
1771059087.678556919,508.450714,REST,0
1771059087.682260036,509.099090,REST,0
1771059087.686331987,509.089111,REST,0
1771059087.690450907,508.624084,REST,0
1771059087.694504023,507.944885,REST,0
1771059087.698555946,507.214813,REST,0
1771059087.698626995,506.513854,REST,0
1771059087.703125954,505.903869,REST,0
1771059087.706970215,505.504882,REST,0
1771059087.711523056,505.498748,REST,0
1771059087.715431929,506.039093,REST,0
1771059087.719343185,507.072174,REST,0
1771059087.723258018,508.190093,REST,0
1771059087.727817059,508.754241,REST,0
1771059087.731714010,508.267822,REST,0
1771059087.735476017,506.657531,REST,0
1771059087.739950180,504.234527,REST,0
1771059087.743803978,501.406097,REST,0
1771059087.748425007,498.432220,REST,0
1771059087.752349854,495.495239,REST,0
1771059087.756235123,492.955963,REST,0
1771059087.760154963,491.413665,REST,0
1771059087.764204979,491.432922,REST,0
1771059087.768265009,493.143280,REST,0
1771059087.772337914,496.038787,REST,0
1771059087.776382923,499.205505,REST,0
1771059087.780536175,501.843078,REST,0
1771059087.780579090,503.643829,REST,0
1771059087.785171032,504.737396,REST,0
1771059087.789101124,505.341003,REST,0
1771059087.793008804,505.533203,REST,0
1771059087.796877146,505.366210,REST,0
1771059087.801544905,505.062591,REST,0
1771059087.805396080,504.951751,REST,0
1771059087.809232950,505.202301,REST,0
1771059087.813774109,505.701416,REST,0
1771059087.817727089,506.251251,REST,0
1771059087.821557045,506.852416,REST,0
1771059087.826181173,507.702667,REST,0
1771059087.830133915,508.875244,REST,0
1771059087.834089041,510.127136,REST,0
1771059087.837975025,511.151794,REST,0
1771059087.842452049,511.917327,REST,0
1771059087.846327066,512.609558,REST,0
1771059087.850166082,513.300781,REST,0
1771059087.854243040,513.804870,REST,0
1771059087.858352900,513.889282,REST,0
1771059087.862421989,513.600891,REST,0
1771059087.866493940,513.280761,REST,0
1771059087.866545916,513.192138,REST,0
1771059087.871086121,513.249206,REST,0
1771059087.874929905,513.191284,REST,0
1771059087.879431963,512.896667,REST,0
1771059087.883358955,512.411132,REST,0
1771059087.887300014,511.723052,REST,0
1771059087.891232967,510.667572,REST,0
1771059087.895814896,509.176269,REST,0
1771059087.899741888,507.561859,REST,0
1771059087.903904915,506.369079,REST,0
1771059087.907778025,505.922454,REST,0
1771059087.911631823,506.142852,REST,0
1771059087.916113853,506.797058,REST,0
1771059087.920018911,507.798156,REST,0
1771059087.923927069,509.146392,REST,0
1771059087.928517103,510.619171,REST,0
1771059087.932476997,511.734802,REST,0
1771059087.936155796,512.149963,REST,0
1771059087.940261841,511.977722,REST,0
1771059087.944341898,511.565216,REST,0
1771059087.948416948,510.997467,REST,0
1771059087.952773809,509.982177,CLICK,5
1771059087.952880859,508.279296,CLICK,5
1771059087.956778049,506.094207,CLICK,5
1771059087.961281061,503.914031,CLICK,5
1771059087.965147972,501.979003,CLICK,5
1771059087.969010830,500.003662,CLICK,5
1771059087.973493099,497.503692,CLICK,5
1771059087.977357149,494.407318,CLICK,5
1771059087.981212854,491.223052,CLICK,5
1771059087.985605955,488.562744,CLICK,5
1771059087.989456892,486.621917,CLICK,5
1771059087.993970871,485.154388,CLICK,5
1771059087.997876883,483.873687,CLICK,5
1771059088.001724005,482.818115,CLICK,5
1771059088.005893946,482.284088,CLICK,5
1771059088.010353804,482.463104,CLICK,5
1771059088.014215946,483.262634,CLICK,5
1771059088.018069029,484.457061,CLICK,5
1771059088.022150993,485.887969,CLICK,5
1771059088.026230097,487.481201,CLICK,5
1771059088.030347109,489.124511,CLICK,5
1771059088.034405231,490.619323,CLICK,5
1771059088.038490057,491.837036,CLICK,5
1771059088.038530111,492.857360,CLICK,5
1771059088.043029070,493.823364,CLICK,5
1771059088.046880007,494.688018,CLICK,5
1771059088.051615953,495.215484,CLICK,5
1771059088.055466890,495.239685,CLICK,5
1771059088.059326887,494.870910,CLICK,5
1771059088.063182116,494.449401,CLICK,5
1771059088.067664862,494.276855,CLICK,5
1771059088.071514845,494.403808,CLICK,5
1771059088.075367928,494.729980,CLICK,5
1771059088.079866886,495.278137,CLICK,5
1771059088.083720922,496.225006,CLICK,5
1771059088.088140965,497.614654,CLICK,5
1771059088.091989040,499.133026,CLICK,5
1771059088.095847845,500.240692,CLICK,5
1771059088.100411892,500.520965,CLICK,5
1771059088.104243994,499.862518,CLICK,5
1771059088.108216047,498.370147,CLICK,5
1771059088.112229824,496.232849,CLICK,5
1771059088.116333008,493.755004,CLICK,5
1771059088.120490074,491.480285,CLICK,5
1771059088.124559164,490.125488,CLICK,5
1771059088.124611139,490.217529,CLICK,5
1771059088.129207134,491.757934,CLICK,5
1771059088.133145094,494.288055,CLICK,5
1771059088.137039900,497.237701,CLICK,5
1771059088.140954971,500.145599,CLICK,5
1771059088.145493031,502.634887,CLICK,5
1771059088.149350882,504.351440,CLICK,5
1771059088.153779984,505.027923,CLICK,5
1771059088.157733202,504.667480,CLICK,5
1771059088.161666155,503.649841,CLICK,5
1771059088.165626049,502.560577,CLICK,5
1771059088.170234203,501.888732,CLICK,5
1771059088.174196005,501.896392,CLICK,5
1771059088.178154945,502.640380,CLICK,5
1771059088.182014942,503.958160,CLICK,5
1771059088.186500072,505.484222,CLICK,5
1771059088.190426111,506.782135,CLICK,5
1771059088.194216013,507.469635,CLICK,5
1771059088.198305130,507.280242,CLICK,5
1771059088.202394962,506.096069,CLICK,5
1771059088.206458807,503.928192,CLICK,5
1771059088.210568905,500.921173,CLICK,5
1771059088.210613966,497.432495,CLICK,5
1771059088.215111017,494.009429,CLICK,5
1771059088.218940020,491.186950,CLICK,5
1771059088.223525047,489.325225,CLICK,5
1771059088.227454901,488.554626,CLICK,5
1771059088.231404066,488.761627,CLICK,5
1771059088.235347986,489.685302,CLICK,5
1771059088.239301920,491.064117,CLICK,5
1771059088.243905067,492.650238,CLICK,5
1771059088.247829914,494.162322,CLICK,5
1771059088.251691103,495.313385,CLICK,5
1771059088.256181002,495.888549,CLICK,5
1771059088.260148048,495.833190,CLICK,5
1771059088.264112949,495.264923,CLICK,5
1771059088.268057108,494.341613,CLICK,5
1771059088.272024155,493.138122,CLICK,5
1771059088.276635885,491.721679,CLICK,5
1771059088.280246973,490.331665,CLICK,5
1771059088.284271002,489.426177,CLICK,5
1771059088.288365126,489.477905,CLICK,5
1771059088.292503119,490.677734,CLICK,5
1771059088.296587944,492.876281,CLICK,5
1771059088.296646833,495.812805,CLICK,5
1771059088.301231146,499.303497,CLICK,5
1771059088.305181980,503.165740,CLICK,5
1771059088.309109926,507.036193,CLICK,5
1771059088.313025951,510.360351,CLICK,5
1771059088.317553997,512.630920,CLICK,5
1771059088.321407080,513.682434,CLICK,5
1771059088.325282097,513.729309,CLICK,5
1771059088.329928875,513.103149,CLICK,5
1771059088.333888054,512.007751,CLICK,5
1771059088.337853909,510.531219,CLICK,5
1771059088.341817141,508.787078,CLICK,5
1771059088.345786810,506.961578,CLICK,5
1771059088.350341797,505.237976,CLICK,5
1771059088.354201078,503.716400,CLICK,5
1771059088.358052015,502.431976,CLICK,5
1771059088.362643957,501.428924,CLICK,5
1771059088.366234779,500.789611,CLICK,5
1771059088.370316982,500.625946,CLICK,5
1771059088.374416828,501.060668,CLICK,5
