Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1772369116.167585135,2294321.640,489.2468,REST,0
1772369116.175263882,2294329.319,550.0652,REST,0
1772369116.179845810,2294333.901,568.8652,REST,0
1772369116.187557936,2294341.613,545.3401,REST,0
1772369116.192211866,2294346.267,580.5982,REST,0
1772369116.199856997,2294353.912,570.8182,REST,0
1772369116.204499960,2294358.555,527.4014,REST,0
1772369116.212074995,2294366.130,522.5748,REST,0
1772369116.216651917,2294370.707,560.8819,REST,0
1772369116.224437952,2294378.493,558.8983,REST,0
1772369116.229074955,2294383.130,560.7630,REST,0
1772369116.236727953,2294390.784,554.1878,REST,0
1772369116.241357088,2294395.412,528.0552,REST,0
1772369116.248977900,2294403.033,490.2578,REST,0
1772369116.253656149,2294407.711,497.5203,REST,0
1772369116.261283159,2294415.338,500.0257,REST,0
1772369116.265742064,2294419.797,448.8946,REST,0
1772369116.273626089,2294427.682,473.8898,REST,0
1772369116.278236866,2294432.292,507.3000,REST,0
1772369116.285794020,2294439.849,468.6193,REST,0
1772369116.290206909,2294444.262,418.5458,REST,0
1772369116.298238993,2294452.294,425.4518,REST,0
1772369116.302884102,2294456.939,375.7650,REST,0
1772369116.310487986,2294464.543,356.1769,REST,0
1772369116.315087795,2294469.143,390.2367,REST,0
1772369116.322704792,2294476.760,405.5090,REST,0
1772369116.326994896,2294481.050,383.0906,REST,0
1772369116.335037947,2294489.093,412.9799,REST,0
1772369116.339679003,2294493.734,421.9496,REST,0
1772369116.347300053,2294501.355,380.1538,REST,0
1772369116.351943970,2294505.999,434.5727,REST,0
1772369116.359602928,2294513.658,444.2597,REST,0
1772369116.364216089,2294518.271,425.9646,REST,0
1772369116.371913910,2294525.969,441.0200,REST,0
1772369116.376557112,2294530.612,476.6056,REST,0
1772369116.384210825,2294538.266,436.6470,REST,0
1772369116.388684034,2294542.739,415.1949,REST,0
1772369116.396457911,2294550.513,483.0118,REST,0
1772369116.401109934,2294555.165,500.7515,REST,0
1772369116.408738136,2294562.793,487.6284,REST,0
1772369116.413367033,2294567.422,516.7551,REST,0
1772369116.420986176,2294575.041,498.2764,REST,0
1772369116.425563812,2294579.619,452.7530,REST,0
1772369116.433394909,2294587.450,453.0333,REST,0
1772369116.438035965,2294592.091,461.8113,REST,0
1772369116.445621014,2294599.676,401.8963,REST,0
1772369116.450256824,2294604.312,413.2811,REST,0
1772369116.457865953,2294611.921,472.3143,REST,0
1772369116.462205887,2294616.261,472.5071,REST,0
1772369116.470262051,2294624.317,469.2297,REST,0
1772369116.474903107,2294628.959,491.2096,REST,0
1772369116.482499123,2294636.554,493.1671,REST,0
1772369116.487120867,2294641.176,472.0810,REST,0
1772369116.494732141,2294648.787,517.6411,REST,0
1772369116.499308109,2294653.363,531.1608,REST,0
1772369116.507097006,2294661.152,483.1341,REST,0
1772369116.511758089,2294665.813,497.5007,REST,0
1772369116.519361973,2294673.417,533.0917,REST,0
1772369116.523568153,2294677.623,498.5083,REST,0
1772369116.531626940,2294685.682,506.9671,REST,0
1772369116.536250114,2294690.305,537.3466,REST,0
1772369116.543914080,2294697.969,525.9323,REST,0
1772369116.548552036,2294702.607,501.3582,REST,0
1772369116.556262970,2294710.318,523.2550,REST,0
1772369116.560889006,2294714.944,520.9996,REST,0
1772369116.568483114,2294722.538,500.1481,REST,0
1772369116.573125839,2294727.181,545.2527,REST,0
1772369116.580923796,2294734.979,519.7821,REST,0
1772369116.585567951,2294739.623,457.5726,REST,0
1772369116.593094826,2294747.150,467.1414,REST,0
1772369116.597669840,2294751.725,481.6319,REST,0
1772369116.605331898,2294759.387,440.7095,REST,0
1772369116.609979868,2294764.035,450.9766,REST,0
1772369116.617685080,2294771.740,506.8527,REST,0
1772369116.622074842,2294776.130,478.8146,REST,0
1772369116.629895926,2294783.951,485.1639,REST,0
1772369116.634474993,2294788.530,515.0700,REST,0
1772369116.642281055,2294796.336,516.1245,REST,0
1772369116.646917105,2294800.972,468.6759,REST,0
1772369116.654546022,2294808.601,530.8197,REST,0
1772369116.659168005,2294813.223,553.1693,REST,0
1772369116.666777134,2294820.832,510.4564,REST,0
1772369116.671346903,2294825.402,548.8473,REST,0
1772369116.679101944,2294833.157,542.3718,REST,0
1772369116.683742046,2294837.797,501.0974,REST,0
1772369116.691406012,2294845.461,483.8389,REST,0
