Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1771771427.368893862,263451.420,490.7661,CLICK,1
1771771427.374053955,263456.580,533.6709,CLICK,1
1771771427.381189823,263463.716,514.6771,CLICK,1
1771771427.386337996,263468.864,459.3811,CLICK,1
1771771427.393439054,263475.965,458.2619,CLICK,1
1771771427.398532152,263481.059,458.8238,CLICK,1
1771771427.405841827,263488.368,455.3772,CLICK,1
1771771427.410998106,263493.524,468.5765,CLICK,1
1771771427.418061972,263500.588,483.8759,CLICK,1
1771771427.423279047,263505.805,428.7095,CLICK,1
1771771427.430343866,263512.870,409.4482,CLICK,1
1771771427.435425043,263517.951,344.3079,CLICK,1
1771771427.442667007,263525.193,294.7692,CLICK,1
1771771427.447829008,263530.355,226.1597,CLICK,1
1771771427.454921961,263537.448,107.7210,CLICK,1
1771771427.460029840,263542.556,-0.6776,CLICK,1
1771771427.467170954,263549.697,-127.3750,CLICK,1
1771771427.472084045,263554.610,-192.0303,CLICK,1
1771771427.479482889,263562.009,-229.9509,CLICK,1
1771771427.484652042,263567.178,-221.0560,CLICK,1
1771771427.491778135,263574.304,-197.6343,CLICK,1
1771771427.496871948,263579.398,-171.5072,CLICK,1
1771771427.504047155,263586.573,-102.5284,CLICK,1
1771771427.509226084,263591.752,-29.1765,CLICK,1
1771771427.516315937,263598.843,6.2103,CLICK,1
1771771427.521484137,263604.010,45.2759,CLICK,1
1771771427.528560877,263611.087,114.5460,CLICK,1
1771771427.533649921,263616.176,176.7035,CLICK,1
1771771427.540930033,263623.456,234.2364,CLICK,1
1771771427.546096802,263628.623,283.9396,CLICK,1
1771771427.553176165,263635.702,347.7586,CLICK,1
1771771427.558310986,263640.837,435.0797,CLICK,1
1771771427.565448999,263647.975,495.7350,CLICK,1
1771771427.570531130,263653.057,579.6575,CLICK,1
1771771427.577762127,263660.289,629.1961,CLICK,1
1771771427.582931042,263665.457,699.5719,CLICK,1
1771771427.590086937,263672.613,715.0801,CLICK,1
1771771427.595262051,263677.788,787.6494,CLICK,1
1771771427.602296114,263684.822,884.2833,CLICK,1
