Timestamp_Unix,Signal_mV,Intent_Label,Label_Class
1770979545.042700052,500.958160,CLICK,5
1770979545.046434164,501.328796,CLICK,5
1770979545.050585032,501.406951,CLICK,5
1770979545.054624081,501.351196,CLICK,5
1770979545.058736086,501.317657,CLICK,5
1770979545.062793016,501.504119,CLICK,5
1770979545.062845945,502.070800,CLICK,5
1770979545.067366838,502.980407,CLICK,5
1770979545.071267128,503.953613,CLICK,5
1770979545.075104952,504.595825,CLICK,5
1770979545.079572916,504.606536,CLICK,5
1770979545.083427191,503.931945,CLICK,5
1770979545.087934971,502.746765,CLICK,5
1770979545.091701031,501.321899,CLICK,5
1770979545.095623016,499.950927,CLICK,5
1770979545.100088120,498.961273,CLICK,5
1770979545.103988886,498.690429,CLICK,5
1770979545.108360052,499.386230,CLICK,5
1770979545.112198830,501.073089,CLICK,5
1770979545.116842985,503.472198,CLICK,5
1770979545.120790005,506.059295,CLICK,5
1770979545.124677181,508.273651,CLICK,5
1770979545.128530025,509.752838,CLICK,5
1770979545.132498980,510.438507,CLICK,5
1770979545.136592865,510.517944,CLICK,5
1770979545.140635967,510.292541,CLICK,5
1770979545.144704103,510.054107,CLICK,5
1770979545.148777008,510.004333,CLICK,5
1770979545.148819923,510.226562,CLICK,5
1770979545.153394938,510.671875,CLICK,5
1770979545.157304049,511.157470,CLICK,5
1770979545.161190987,511.401641,CLICK,5
1770979545.165747881,511.112060,CLICK,5
1770979545.169631004,510.109649,CLICK,5
1770979545.173511982,508.440521,CLICK,5
1770979545.177989006,506.371002,CLICK,5
1770979545.181833029,504.247619,CLICK,5
1770979545.185745001,502.346069,CLICK,5
1770979545.190224886,500.811309,CLICK,5
1770979545.194154978,499.708862,CLICK,5
1770979545.198064804,499.092193,CLICK,5
1770979545.202617168,498.964111,CLICK,5
1770979545.206521034,499.191314,CLICK,5
1770979545.210373878,499.554840,CLICK,5
1770979545.214790821,499.927795,CLICK,5
1770979545.218456030,500.396942,CLICK,5
1770979545.222589016,501.202850,CLICK,5
1770979545.226656914,502.532623,CLICK,5
1770979545.230752945,504.367858,CLICK,5
1770979545.234800816,506.536437,CLICK,5
1770979545.234841108,508.848419,CLICK,5
1770979545.239455938,511.155731,CLICK,5
1770979545.243333101,513.339233,CLICK,5
1770979545.247184992,515.268371,CLICK,5
1770979545.251738787,516.760192,CLICK,5
1770979545.255690098,517.573547,CLICK,5
1770979545.259599924,517.443725,CLICK,5
1770979545.263553143,516.167236,CLICK,5
1770979545.268127918,513.731628,CLICK,5
1770979545.272047043,510.374725,CLICK,5
1770979545.275934935,506.483337,CLICK,5
1770979545.280418158,502.424041,CLICK,5
1770979545.284266949,498.485473,CLICK,5
1770979545.288206100,494.955657,CLICK,5
1770979545.292732954,492.170623,CLICK,5
1770979545.296658993,490.410156,CLICK,5
1770979545.300612211,489.760101,CLICK,5
1770979545.304518938,490.112945,CLICK,5
1770979545.308532000,491.274597,CLICK,5
1770979545.312636852,493.060760,CLICK,5
1770979545.316709042,495.321960,CLICK,5
1770979545.320835114,497.902862,CLICK,5
1770979545.320876122,500.621551,CLICK,5
1770979545.325477839,503.329864,CLICK,5
1770979545.329430103,505.945098,CLICK,5
1770979545.333351851,508.384094,CLICK,5
1770979545.337285042,510.519134,CLICK,5
1770979545.341861963,512.201416,CLICK,5
1770979545.345733166,513.283020,CLICK,5
1770979545.349596977,513.644775,CLICK,5
1770979545.354130983,513.228820,CLICK,5
1770979545.358008146,512.025512,CLICK,5
1770979545.361928940,510.044921,CLICK,5
1770979545.366456032,507.334167,CLICK,5
1770979545.370385885,504.027282,CLICK,5
1770979545.374283075,500.381835,CLICK,5
1770979545.378167152,496.748229,CLICK,5
1770979545.382664919,493.428588,CLICK,5
1770979545.386515856,490.525665,CLICK,5
1770979545.390544891,487.951538,CLICK,5
1770979545.394584179,485.597320,CLICK,5
